enr_pathway,one_lower_level,top_level,enr_description,one_lower_level_description,top_level_description
R-HSA-5619055,R-HSA-5619115,R-HSA-1643685,Defective SLC24A4 causes hypomineralized amelogenesis imperfecta (AI),Disorders of transmembrane transporters,Disease
R-HSA-5619036,R-HSA-5619115,R-HSA-1643685,Defective SLC24A5 causes oculocutaneous albinism 6 (OCA6),Disorders of transmembrane transporters,Disease
R-HSA-3560792,R-HSA-5668914,R-HSA-1643685,Defective SLC26A2 causes chondrodysplasias,Diseases of metabolism,Disease
R-HSA-3560792,R-HSA-5619115,R-HSA-1643685,Defective SLC26A2 causes chondrodysplasias,Disorders of transmembrane transporters,Disease
R-HSA-5619085,R-HSA-5619115,R-HSA-1643685,Defective SLC26A3 causes congenital secretory chloride diarrhea 1 (DIAR1),Disorders of transmembrane transporters,Disease
R-HSA-5619046,R-HSA-5619115,R-HSA-1643685,Defective SLC26A4 causes Pendred syndrome (PDS),Disorders of transmembrane transporters,Disease
R-HSA-5619108,R-HSA-5619115,R-HSA-1643685,Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS),Disorders of transmembrane transporters,Disease
R-HSA-5619063,R-HSA-5619115,R-HSA-1643685,Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS),Disorders of transmembrane transporters,Disease
R-HSA-5619043,R-HSA-5619115,R-HSA-1643685,Defective SLC2A1 causes GLUT1 deficiency syndrome 1 (GLUT1DS1),Disorders of transmembrane transporters,Disease
R-HSA-5619068,R-HSA-5619115,R-HSA-1643685,Defective SLC2A10 causes arterial tortuosity syndrome (ATS),Disorders of transmembrane transporters,Disease
R-HSA-5619098,R-HSA-5619115,R-HSA-1643685,Defective SLC2A2 causes Fanconi-Bickel syndrome (FBS),Disorders of transmembrane transporters,Disease
R-HSA-5619047,R-HSA-5619115,R-HSA-1643685,Defective SLC2A9 causes hypouricemia renal 2 (RHUC2),Disorders of transmembrane transporters,Disease
R-HSA-5619061,R-HSA-5619115,R-HSA-1643685,Defective SLC33A1 causes spastic paraplegia 42 (SPG42),Disorders of transmembrane transporters,Disease
R-HSA-5619040,R-HSA-5619115,R-HSA-1643685,Defective SLC34A1 causes hypophosphatemic nephrolithiasis/osteoporosis 1 (NPHLOP1),Disorders of transmembrane transporters,Disease
R-HSA-5687583,R-HSA-5668914,R-HSA-1643685,Defective SLC34A2 causes PALM,Diseases of metabolism,Disease
R-HSA-5619045,R-HSA-5619115,R-HSA-1643685,Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM),Disorders of transmembrane transporters,Disease
R-HSA-5619097,R-HSA-5619115,R-HSA-1643685,Defective SLC34A3 causes Hereditary hypophosphatemic rickets with hypercalciuria (HHRH),Disorders of transmembrane transporters,Disease
R-HSA-5619037,R-HSA-5619115,R-HSA-1643685,Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F),Disorders of transmembrane transporters,Disease
R-HSA-5663020,R-HSA-5619115,R-HSA-1643685,Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F),Disorders of transmembrane transporters,Disease
R-HSA-5619072,R-HSA-5619115,R-HSA-1643685,Defective SLC35A2 causes congenital disorder of glycosylation 2M (CDG2M),Disorders of transmembrane transporters,Disease
R-HSA-5619083,R-HSA-5619115,R-HSA-1643685,"Defective SLC35A3 causes arthrogryposis, mental retardation, and seizures (AMRS)",Disorders of transmembrane transporters,Disease
R-HSA-5619078,R-HSA-5619115,R-HSA-1643685,Defective SLC35C1 causes congenital disorder of glycosylation 2C (CDG2C),Disorders of transmembrane transporters,Disease
R-HSA-5579020,R-HSA-5668914,R-HSA-1643685,Defective SLC35D1 causes SCHBCKD,Diseases of metabolism,Disease
R-HSA-5619041,R-HSA-5619115,R-HSA-1643685,Defective SLC36A2 causes iminoglycinuria (IG) and hyperglycinuria (HG),Disorders of transmembrane transporters,Disease
R-HSA-5619088,R-HSA-5619115,R-HSA-1643685,"Defective SLC39A4 causes acrodermatitis enteropathica, zinc-deficiency type (AEZ)",Disorders of transmembrane transporters,Disease
R-HSA-5619113,R-HSA-5619115,R-HSA-1643685,Defective SLC3A1 causes cystinuria (CSNU),Disorders of transmembrane transporters,Disease
R-HSA-5655799,R-HSA-5619115,R-HSA-1643685,Defective SLC40A1 causes hemochromatosis 4 (HFE4) (duodenum),Disorders of transmembrane transporters,Disease
R-HSA-5619049,R-HSA-5619115,R-HSA-1643685,Defective SLC40A1 causes hemochromatosis 4 (HFE4) (macrophages),Disorders of transmembrane transporters,Disease
R-HSA-5619050,R-HSA-5619115,R-HSA-1643685,"Defective SLC4A1 causes hereditary spherocytosis type 4 (HSP4),  distal renal tubular acidosis (dRTA) and dRTA with hemolytic anemia (dRTA-HA)",Disorders of transmembrane transporters,Disease
R-HSA-5619054,R-HSA-5619115,R-HSA-1643685,"Defective SLC4A4 causes renal tubular acidosis, proximal, with ocular abnormalities and mental retardation (pRTA-OA)",Disorders of transmembrane transporters,Disease
R-HSA-5656364,R-HSA-5619115,R-HSA-1643685,Defective SLC5A1 causes congenital glucose/galactose malabsorption (GGM),Disorders of transmembrane transporters,Disease
R-HSA-5658208,R-HSA-5619115,R-HSA-1643685,Defective SLC5A2 causes renal glucosuria (GLYS1),Disorders of transmembrane transporters,Disease
R-HSA-5619096,R-HSA-5619115,R-HSA-1643685,Defective SLC5A5 causes thyroid dyshormonogenesis 1 (TDH1),Disorders of transmembrane transporters,Disease
R-HSA-5658471,R-HSA-5619115,R-HSA-1643685,Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A),Disorders of transmembrane transporters,Disease
R-HSA-5619114,R-HSA-5619115,R-HSA-1643685,Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A),Disorders of transmembrane transporters,Disease
R-HSA-5659729,R-HSA-5619115,R-HSA-1643685,Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria,Disorders of transmembrane transporters,Disease
R-HSA-5619079,R-HSA-5619115,R-HSA-1643685,Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria,Disorders of transmembrane transporters,Disease
R-HSA-5659735,R-HSA-5619115,R-HSA-1643685,Defective SLC6A19 causes Hartnup disorder (HND),Disorders of transmembrane transporters,Disease
R-HSA-5619044,R-HSA-5619115,R-HSA-1643685,Defective SLC6A19 causes Hartnup disorder (HND),Disorders of transmembrane transporters,Disease
R-HSA-5619109,R-HSA-5619115,R-HSA-1643685,Defective SLC6A2 causes orthostatic intolerance (OI),Disorders of transmembrane transporters,Disease
R-HSA-5619081,R-HSA-5619115,R-HSA-1643685,Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS),Disorders of transmembrane transporters,Disease
R-HSA-5660724,R-HSA-5619115,R-HSA-1643685,Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS),Disorders of transmembrane transporters,Disease
R-HSA-5619089,R-HSA-5619115,R-HSA-1643685,Defective SLC6A5 causes hyperekplexia 3 (HKPX3),Disorders of transmembrane transporters,Disease
R-HSA-5660862,R-HSA-5619115,R-HSA-1643685,Defective SLC7A7 causes lysinuric protein intolerance (LPI),Disorders of transmembrane transporters,Disease
R-HSA-5660883,R-HSA-5619115,R-HSA-1643685,Defective SLC7A9 causes cystinuria (CSNU),Disorders of transmembrane transporters,Disease
R-HSA-5619092,R-HSA-5619115,R-HSA-1643685,"Defective SLC9A6 causes  X-linked, syndromic mental retardation,, Christianson type (MRXSCH)",Disorders of transmembrane transporters,Disease
R-HSA-5619052,R-HSA-5619115,R-HSA-1643685,Defective SLC9A9 causes autism 16 (AUTS16),Disorders of transmembrane transporters,Disease
R-HSA-5619110,R-HSA-5619115,R-HSA-1643685,"Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR)",Disorders of transmembrane transporters,Disease
R-HSA-5619058,R-HSA-5619115,R-HSA-1643685,"Defective SLCO1B3 causes hyperbilirubinemia, Rotor type (HBLRR)",Disorders of transmembrane transporters,Disease
R-HSA-5619095,R-HSA-5619115,R-HSA-1643685,"Defective SLCO2A1 causes primary, autosomal recessive hypertrophic osteoarthropathy 2 (PHOAR2)",Disorders of transmembrane transporters,Disease
R-HSA-4755579,R-HSA-5668914,R-HSA-1643685,Defective SRD5A3 causes SRD5A3-CDG (CDG-1q) and KHRZ,Diseases of metabolism,Disease
R-HSA-3656243,R-HSA-5668914,R-HSA-1643685,Defective ST3GAL3 causes MCT12 and EIEE15,Diseases of metabolism,Disease
R-HSA-5579032,R-HSA-5668914,R-HSA-1643685,Defective TBXAS1 causes GHDD,Diseases of metabolism,Disease
R-HSA-3359454,R-HSA-5668914,R-HSA-1643685,Defective TCN2 causes hereditary megaloblastic anemia,Diseases of metabolism,Disease
R-HSA-5578995,R-HSA-5668914,R-HSA-1643685,Defective TPMT causes TPMT deficiency,Diseases of metabolism,Disease
R-HSA-5619107,R-HSA-5619115,R-HSA-1643685,Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC),Disorders of transmembrane transporters,Disease
R-HSA-5579002,R-HSA-5668914,R-HSA-1643685,Defective UGT1A1 causes hyperbilirubinemia,Diseases of metabolism,Disease
R-HSA-5579016,R-HSA-5668914,R-HSA-1643685,Defective UGT1A4 causes hyperbilirubinemia,Diseases of metabolism,Disease
R-HSA-9661069,R-HSA-9675126,R-HSA-1643685,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)",Diseases of mitotic cell cycle,Disease
R-HSA-9672396,R-HSA-9671793,R-HSA-1643685,Defective cofactor function of FVIIIa variant,Diseases of hemostasis,Disease
R-HSA-9668250,R-HSA-9671793,R-HSA-1643685,Defective factor IX causes hemophilia B,Diseases of hemostasis,Disease
R-HSA-9672383,R-HSA-9671793,R-HSA-1643685,Defective factor IX causes thrombophilia,Diseases of hemostasis,Disease
R-HSA-9662001,R-HSA-9671793,R-HSA-1643685,Defective factor VIII causes hemophilia A,Diseases of hemostasis,Disease
R-HSA-9657688,R-HSA-9671793,R-HSA-1643685,Defective factor XII causes hereditary angioedema,Diseases of hemostasis,Disease
R-HSA-9673240,R-HSA-9671793,R-HSA-1643685,Defective gamma-carboxylation of F9,Diseases of hemostasis,Disease
R-HSA-5688031,R-HSA-5668914,R-HSA-1643685,Defective pro-SFTPB causes SMDP1 and RDS,Diseases of metabolism,Disease
R-HSA-5688354,R-HSA-5668914,R-HSA-1643685,Defective pro-SFTPC causes SMDP2 and RDS,Diseases of metabolism,Disease
R-HSA-9710421,R-HSA-9645723,R-HSA-1643685,Defective pyroptosis,Diseases of programmed cell death,Disease
R-HSA-9661070,R-HSA-9675126,R-HSA-1643685,Defective translocation of RB1 mutants to the nucleus,Diseases of mitotic cell cycle,Disease
R-HSA-3323169,R-HSA-5668914,R-HSA-1643685,Defects in biotin (Btn) metabolism,Diseases of metabolism,Disease
R-HSA-3296469,R-HSA-5668914,R-HSA-1643685,Defects in cobalamin (B12) metabolism,Diseases of metabolism,Disease
R-HSA-3296482,R-HSA-5668914,R-HSA-1643685,Defects in vitamin and cofactor metabolism,Diseases of metabolism,Disease
R-HSA-9651496,R-HSA-9671793,R-HSA-1643685,Defects of contact activation system (CAS) and kallikrein/kinin system (KKS),Diseases of hemostasis,Disease
R-HSA-1461973,R-HSA-168249,R-HSA-168256,Defensins,Innate Immune System,Immune System
R-HSA-4641257,R-HSA-195721,R-HSA-162582,Degradation of AXIN,Signaling by WNT,Signal Transduction
R-HSA-4641258,R-HSA-195721,R-HSA-162582,Degradation of DVL,Signaling by WNT,Signal Transduction
R-HSA-916853,R-HSA-112315,R-HSA-112316,Degradation of GABA,Transmission across Chemical Synapses,Neuronal System
R-HSA-5610780,R-HSA-5358351,R-HSA-162582,Degradation of GLI1 by the proteasome,Signaling by Hedgehog,Signal Transduction
R-HSA-5610783,R-HSA-5358351,R-HSA-162582,Degradation of GLI2 by the proteasome,Signaling by Hedgehog,Signal Transduction
R-HSA-195253,R-HSA-195721,R-HSA-162582,Degradation of beta-catenin by the destruction complex,Signaling by WNT,Signal Transduction
R-HSA-1614558,R-HSA-71291,R-HSA-1430728,Degradation of cysteine and homocysteine,Metabolism of amino acids and derivatives,Metabolism
R-HSA-1474228,R-HSA-1474228,R-HSA-1474244,Degradation of the extracellular matrix,Degradation of the extracellular matrix,Extracellular matrix organization
R-HSA-5467343,R-HSA-5663202,R-HSA-1643685,Deletions in the AMER1 gene destabilize the destruction complex,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-5467345,R-HSA-5663202,R-HSA-1643685,Deletions in the AXIN genes in hepatocellular carcinoma result in elevated WNT signaling,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-4419969,R-HSA-69278,R-HSA-1640170,Depolymerisation of the Nuclear Lamina,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-606279,R-HSA-73886,R-HSA-1640170,Deposition of new CENPA-containing nucleosomes at the centromere,Chromosome Maintenance,Cell Cycle
R-HSA-73927,R-HSA-73884,R-HSA-73894,Depurination,Base Excision Repair,DNA Repair
R-HSA-73928,R-HSA-73884,R-HSA-73894,Depyrimidination,Base Excision Repair,DNA Repair
R-HSA-8862803,R-HSA-9645723,R-HSA-1643685,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,Diseases of programmed cell death,Disease
R-HSA-2022923,R-HSA-71387,R-HSA-1430728,Dermatan sulfate biosynthesis,Metabolism of carbohydrates,Metabolism
R-HSA-3299685,R-HSA-2262752,R-HSA-8953897,Detoxification of Reactive Oxygen Species,Cellular responses to stress,Cellular responses to stimuli
R-HSA-5688426,R-HSA-597592,R-HSA-392499,Deubiquitination,Post-translational protein modification,Metabolism of proteins
R-HSA-1266738,R-HSA-1266738,R-HSA-1266738,Developmental Biology,Developmental Biology,Developmental Biology
R-HSA-8935690,R-HSA-8935690,R-HSA-8963743,Digestion,Digestion,Digestion and absorption
R-HSA-8963743,R-HSA-8963743,R-HSA-8963743,Digestion and absorption,Digestion and absorption,Digestion and absorption
R-HSA-189085,R-HSA-8935690,R-HSA-8963743,Digestion of dietary carbohydrate,Digestion,Digestion and absorption
R-HSA-192456,R-HSA-8935690,R-HSA-8963743,Digestion of dietary lipid,Digestion,Digestion and absorption
R-HSA-69416,R-HSA-109581,R-HSA-5357801,Dimerization of procaspase-8,Apoptosis,Programmed Cell Death
R-HSA-4641262,R-HSA-195721,R-HSA-162582,Disassembly of the destruction complex and recruitment of AXIN to the membrane,Signaling by WNT,Signal Transduction
R-HSA-1643685,R-HSA-1643685,R-HSA-1643685,Disease,Disease,Disease
R-HSA-3781860,R-HSA-5668914,R-HSA-1643685,Diseases associated with N-glycosylation of proteins,Diseases of metabolism,Disease
R-HSA-3906995,R-HSA-5668914,R-HSA-1643685,Diseases associated with O-glycosylation of proteins,Diseases of metabolism,Disease
R-HSA-3560782,R-HSA-5668914,R-HSA-1643685,Diseases associated with glycosaminoglycan metabolism,Diseases of metabolism,Disease
R-HSA-5609975,R-HSA-5668914,R-HSA-1643685,Diseases associated with glycosylation precursor biosynthesis,Diseases of metabolism,Disease
R-HSA-5687613,R-HSA-5668914,R-HSA-1643685,Diseases associated with surfactant metabolism,Diseases of metabolism,Disease
R-HSA-5602358,R-HSA-5260271,R-HSA-1643685,Diseases associated with the TLR signaling cascade,Diseases of Immune System,Disease
R-HSA-2474795,R-HSA-9675143,R-HSA-1643685,Diseases associated with visual transduction,Diseases of the neuronal system,Disease
R-HSA-9605308,R-HSA-9675135,R-HSA-1643685,Diseases of Base Excision Repair,Diseases of DNA repair,Disease
R-HSA-9630747,R-HSA-9675132,R-HSA-1643685,Diseases of Cellular Senescence,Diseases of cellular response to stress,Disease
R-HSA-9675136,R-HSA-9675135,R-HSA-1643685,Diseases of DNA Double-Strand Break Repair,Diseases of DNA repair,Disease
R-HSA-9675135,R-HSA-9675135,R-HSA-1643685,Diseases of DNA repair,Diseases of DNA repair,Disease
R-HSA-5260271,R-HSA-5260271,R-HSA-1643685,Diseases of Immune System,Diseases of Immune System,Disease
R-HSA-5423599,R-HSA-9675135,R-HSA-1643685,Diseases of Mismatch Repair (MMR),Diseases of DNA repair,Disease
R-HSA-9673013,R-HSA-9675126,R-HSA-1643685,Diseases of Telomere Maintenance,Diseases of mitotic cell cycle,Disease
R-HSA-5663084,R-HSA-5668914,R-HSA-1643685,Diseases of carbohydrate metabolism,Diseases of metabolism,Disease
R-HSA-9675132,R-HSA-9675132,R-HSA-1643685,Diseases of cellular response to stress,Diseases of cellular response to stress,Disease
R-HSA-3781865,R-HSA-5668914,R-HSA-1643685,Diseases of glycosylation,Diseases of metabolism,Disease
R-HSA-9671793,R-HSA-9671793,R-HSA-1643685,Diseases of hemostasis,Diseases of hemostasis,Disease
R-HSA-5668914,R-HSA-5668914,R-HSA-1643685,Diseases of metabolism,Diseases of metabolism,Disease
R-HSA-9675126,R-HSA-9675126,R-HSA-1643685,Diseases of mitotic cell cycle,Diseases of mitotic cell cycle,Disease
R-HSA-9645723,R-HSA-9645723,R-HSA-1643685,Diseases of programmed cell death,Diseases of programmed cell death,Disease
R-HSA-5663202,R-HSA-5663202,R-HSA-1643685,Diseases of signal transduction by growth factor receptors and second messengers,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9675143,R-HSA-9675143,R-HSA-1643685,Diseases of the neuronal system,Diseases of the neuronal system,Disease
R-HSA-114516,R-HSA-76002,R-HSA-109582,Disinhibition of SNARE formation,"Platelet activation, signaling and aggregation",Hemostasis
R-HSA-9675151,R-HSA-9675151,R-HSA-1643685,Disorders of Developmental Biology,Disorders of Developmental Biology,Disease
R-HSA-9697154,R-HSA-9675151,R-HSA-1643685,Disorders of Nervous System Development,Disorders of Developmental Biology,Disease
R-HSA-5619115,R-HSA-5619115,R-HSA-1643685,Disorders of transmembrane transporters,Disorders of transmembrane transporters,Disease
R-HSA-110357,R-HSA-73884,R-HSA-73894,Displacement of DNA glycosylase by APEX1,Base Excision Repair,DNA Repair
R-HSA-75205,R-HSA-75205,R-HSA-109582,Dissolution of Fibrin Clot,Dissolution of Fibrin Clot,Hemostasis
R-HSA-212676,R-HSA-112315,R-HSA-112316,Dopamine Neurotransmitter Release Cycle,Transmission across Chemical Synapses,Neuronal System
R-HSA-379401,R-HSA-112315,R-HSA-112316,Dopamine clearance from the synaptic cleft,Transmission across Chemical Synapses,Neuronal System
R-HSA-390651,R-HSA-372790,R-HSA-162582,Dopamine receptors,Signaling by GPCR,Signal Transduction
R-HSA-8863795,R-HSA-9006934,R-HSA-162582,Downregulation of ERBB2 signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-1358803,R-HSA-9006934,R-HSA-162582,Downregulation of ERBB2:ERBB3 signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-1253288,R-HSA-9006934,R-HSA-162582,Downregulation of ERBB4 signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-2173795,R-HSA-9006936,R-HSA-162582,Downregulation of SMAD2/3:SMAD4 transcriptional activity,Signaling by TGFB family members,Signal Transduction
R-HSA-2173795,R-HSA-73857,R-HSA-74160,Downregulation of SMAD2/3:SMAD4 transcriptional activity,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-2173788,R-HSA-9006936,R-HSA-162582,Downregulation of TGF-beta receptor signaling,Signaling by TGFB family members,Signal Transduction
R-HSA-202424,R-HSA-1280218,R-HSA-168256,Downstream TCR signaling,Adaptive Immune System,Immune System
R-HSA-186763,R-HSA-9006934,R-HSA-162582,Downstream signal transduction,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-1168372,R-HSA-1280218,R-HSA-168256,Downstream signaling events of B Cell Receptor (BCR),Adaptive Immune System,Immune System
R-HSA-5654687,R-HSA-9006934,R-HSA-162582,Downstream signaling of activated FGFR1,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5654696,R-HSA-9006934,R-HSA-162582,Downstream signaling of activated FGFR2,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5654708,R-HSA-9006934,R-HSA-162582,Downstream signaling of activated FGFR3,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5654716,R-HSA-9006934,R-HSA-162582,Downstream signaling of activated FGFR4,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9665230,R-HSA-5663202,R-HSA-1643685,Drug resistance in ERBB2 KD mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9665737,R-HSA-5663202,R-HSA-1643685,Drug resistance in ERBB2 TMD/JMD mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9700649,R-HSA-5663202,R-HSA-1643685,Drug resistance of ALK mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9702506,R-HSA-5663202,R-HSA-1643685,Drug resistance of FLT3 mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9669937,R-HSA-5663202,R-HSA-1643685,Drug resistance of KIT mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9674415,R-HSA-5663202,R-HSA-1643685,Drug resistance of PDGFR mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9652282,R-HSA-9006934,R-HSA-162582,Drug-mediated inhibition of ERBB2 signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5696400,R-HSA-5696398,R-HSA-73894,Dual Incision in GG-NER,Nucleotide Excision Repair,DNA Repair
R-HSA-6782135,R-HSA-5696398,R-HSA-73894,Dual incision in TC-NER,Nucleotide Excision Repair,DNA Repair
R-HSA-113510,R-HSA-69278,R-HSA-1640170,E2F mediated regulation of DNA replication,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-113507,R-HSA-69278,R-HSA-1640170,E2F-enabled inhibition of pre-replication complex formation,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-8866654,R-HSA-597592,R-HSA-392499,E3 ubiquitin ligases ubiquitinate target proteins,Post-translational protein modification,Metabolism of proteins
R-HSA-3000178,R-HSA-3000178,R-HSA-1474244,ECM proteoglycans,ECM proteoglycans,Extracellular matrix organization
R-HSA-2179392,R-HSA-372790,R-HSA-162582,EGFR Transactivation by Gastrin,Signaling by GPCR,Signal Transduction
R-HSA-182971,R-HSA-9006934,R-HSA-162582,EGFR downregulation,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-212718,R-HSA-9006934,R-HSA-162582,EGFR interacts with phospholipase C-gamma,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9619665,R-HSA-9675108,R-HSA-1266738,EGR2 and SOX10-mediated initiation of Schwann cell myelination,Nervous system development,Developmental Biology
R-HSA-9648025,R-HSA-69278,R-HSA-1640170,EML4 and NUDC in mitotic spindle formation,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-2682334,R-HSA-9675108,R-HSA-1266738,EPH-Ephrin signaling,Nervous system development,Developmental Biology
R-HSA-3928665,R-HSA-9675108,R-HSA-1266738,EPH-ephrin mediated repulsion of cells,Nervous system development,Developmental Biology
R-HSA-3928663,R-HSA-9675108,R-HSA-1266738,EPHA-mediated growth cone collapse,Nervous system development,Developmental Biology
R-HSA-3928662,R-HSA-9675108,R-HSA-1266738,EPHB-mediated forward signaling,Nervous system development,Developmental Biology
R-HSA-901032,R-HSA-597592,R-HSA-392499,ER Quality Control Compartment (ERQC),Post-translational protein modification,Metabolism of proteins
R-HSA-199977,R-HSA-199991,R-HSA-5653656,ER to Golgi Anterograde Transport,Membrane Trafficking,Vesicle-mediated transport
R-HSA-199977,R-HSA-597592,R-HSA-392499,ER to Golgi Anterograde Transport,Post-translational protein modification,Metabolism of proteins
R-HSA-1236974,R-HSA-1280218,R-HSA-168256,ER-Phagosome pathway,Adaptive Immune System,Immune System
R-HSA-8847993,R-HSA-9006934,R-HSA-162582,ERBB2 Activates PTK6 Signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-8847993,R-HSA-9006927,R-HSA-162582,ERBB2 Activates PTK6 Signaling,Signaling by Non-Receptor Tyrosine Kinases,Signal Transduction
R-HSA-6785631,R-HSA-9006934,R-HSA-162582,ERBB2 Regulates Cell Motility,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-427389,R-HSA-212165,R-HSA-74160,ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression,Epigenetic regulation of gene expression,Gene expression (Transcription)
R-HSA-198753,R-HSA-9006934,R-HSA-162582,ERK/MAPK targets,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-198753,R-HSA-168249,R-HSA-168256,ERK/MAPK targets,Innate Immune System,Immune System
R-HSA-198753,R-HSA-168249,R-HSA-168256,ERK/MAPK targets,Innate Immune System,Immune System
R-HSA-198753,R-HSA-168249,R-HSA-168256,ERK/MAPK targets,Innate Immune System,Immune System
R-HSA-198753,R-HSA-168249,R-HSA-168256,ERK/MAPK targets,Innate Immune System,Immune System
R-HSA-198753,R-HSA-1280215,R-HSA-168256,ERK/MAPK targets,Cytokine Signaling in Immune system,Immune System
R-HSA-198753,R-HSA-168249,R-HSA-168256,ERK/MAPK targets,Innate Immune System,Immune System
R-HSA-198753,R-HSA-168249,R-HSA-168256,ERK/MAPK targets,Innate Immune System,Immune System
R-HSA-198753,R-HSA-168249,R-HSA-168256,ERK/MAPK targets,Innate Immune System,Immune System
R-HSA-198753,R-HSA-168249,R-HSA-168256,ERK/MAPK targets,Innate Immune System,Immune System
R-HSA-198753,R-HSA-168249,R-HSA-168256,ERK/MAPK targets,Innate Immune System,Immune System
R-HSA-202670,R-HSA-9006934,R-HSA-162582,ERKs are inactivated,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-202670,R-HSA-168249,R-HSA-168256,ERKs are inactivated,Innate Immune System,Immune System
R-HSA-202670,R-HSA-168249,R-HSA-168256,ERKs are inactivated,Innate Immune System,Immune System
R-HSA-202670,R-HSA-168249,R-HSA-168256,ERKs are inactivated,Innate Immune System,Immune System
R-HSA-202670,R-HSA-168249,R-HSA-168256,ERKs are inactivated,Innate Immune System,Immune System
R-HSA-202670,R-HSA-1280215,R-HSA-168256,ERKs are inactivated,Cytokine Signaling in Immune system,Immune System
R-HSA-202670,R-HSA-168249,R-HSA-168256,ERKs are inactivated,Innate Immune System,Immune System
R-HSA-202670,R-HSA-168249,R-HSA-168256,ERKs are inactivated,Innate Immune System,Immune System
R-HSA-202670,R-HSA-168249,R-HSA-168256,ERKs are inactivated,Innate Immune System,Immune System
R-HSA-202670,R-HSA-168249,R-HSA-168256,ERKs are inactivated,Innate Immune System,Immune System
R-HSA-202670,R-HSA-168249,R-HSA-168256,ERKs are inactivated,Innate Immune System,Immune System
R-HSA-8939211,R-HSA-9006931,R-HSA-162582,ESR-mediated signaling,Signaling by Nuclear Receptors,Signal Transduction
R-HSA-162594,R-HSA-5663205,R-HSA-1643685,Early Phase of HIV Life Cycle,Infectious disease,Disease
R-HSA-114508,R-HSA-372790,R-HSA-162582,Effects of PIP2 hydrolysis,Signaling by GPCR,Signal Transduction
R-HSA-114508,R-HSA-76002,R-HSA-109582,Effects of PIP2 hydrolysis,"Platelet activation, signaling and aggregation",Hemostasis
R-HSA-391903,R-HSA-372790,R-HSA-162582,Eicosanoid ligand-binding receptors,Signaling by GPCR,Signal Transduction
R-HSA-211979,R-HSA-211859,R-HSA-1430728,Eicosanoids,Biological oxidations,Metabolism
R-HSA-1566948,R-HSA-1566948,R-HSA-1474244,Elastic fibre formation,Elastic fibre formation,Extracellular matrix organization
R-HSA-112303,R-HSA-112307,R-HSA-112316,Electric Transmission Across Gap Junctions,Transmission across Electrical Synapses,Neuronal System
